X	Y	Z
-633.1156616	198	-0.000001
-636.4489746	198	-0.000001
-639.7822876	198	-0.000001
-643.1156616	198	-0.000001
-646.4489746	198	-0.000001
-649.7822876	198	-0.000001
-653.1156616	198	-0.000001
-656.4489746	198	-0.000001
-659.7822876	198	-0.000001
-663.1156616	198	-0.000001
-666.4489746	198	-0.000001
-669.7822876	198	-0.000001
-673.1156616	198	-0.000001
-676.4489746	198	-0.000001
-679.7822876	198	-0.000001
-683.1156616	198	-0.000001
-686.4489746	198	-0.000001
-689.7822876	198	-0.000001
-693.1156616	198	-0.000001
-696.4489746	198	-0.000001
-699.7822876	198	-0.000001
-703.1156616	198	-0.000001
-706.4489746	198	-0.000001
-709.7822876	198	-0.000001
-713.1156616	198	-0.000001
-716.4489746	198	-0.000001
-719.7822876	198	-0.000001
-723.1156616	198	-0.000001
-726.4489746	198	-0.000001
-729.7822876	198	-0.000001
-733.1156616	198	-0.000001
-736.4489746	198	-0.000001
-739.7822876	198	-0.000001
-743.1156616	198	-0.000001
-746.4489746	198	-0.000001
-749.7822876	198	-0.000001
-753.1156616	198	-0.000001
-756.4489746	198	-0.000001
-759.7822876	198	-0.000001
-763.1156616	198	-0.000001
-766.4489746	198	-0.000001
-769.7822876	198	-0.000001
-773.1156616	198	-0.000001
-776.4489746	198	-0.000001
-779.7822876	198	-0.000001
-783.1156616	198	-0.000001
-786.4489746	198	-0.000001
-789.7822876	198	-0.000001
-793.1156616	198	-0.000001
-796.4489746	198	-0.000001
-799.7822876	198	-0.000001
-803.1156616	198	-0.000001
-806.4489746	198	-0.000001
-809.7822876	198	-0.000001
-813.1156616	198	-0.000001
-816.4489746	198	-0.000001
-819.7822876	198	-0.000001
-823.1156616	198	-0.000001
-826.4489746	198	-0.000001
-829.7822876	198	-0.000001
-833.1156616	198	-0.000001
-836.4489746	198	-0.000001
-839.7822876	198	-0.000001
-843.1156616	198	-0.000001
-846.4489746	198	-0.000001
-849.7822876	198	-0.000001
-853.1156616	198	-0.000001
-856.4489746	198	-0.000001
-859.7822876	198	-0.000001
-863.1156616	198	-0.000001
-866.4489746	198	-0.000001
-869.7822876	198	-0.000001
-873.1156616	198	-0.000001
-876.4489746	198	-0.000001
-879.7822876	198	-0.000001
-883.1156616	198	-0.000001
-886.4489746	198	-0.000001
